,Company Name,Industry,Symbol,Series,ISIN Code
0,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
1,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
2,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
3,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
4,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
5,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
6,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
7,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
8,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
9,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
10,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
11,Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
12,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
13,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
14,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
15,GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
16,Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
17,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
18,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
19,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
20,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
21,Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
22,KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
23,L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
24,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
25,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
26,Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
27,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
28,MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
29,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
30,NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
31,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
32,Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
33,PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
34,PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
35,Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
36,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
37,Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
38,Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
39,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
40,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
41,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
42,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
43,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
44,Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
45,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
46,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
47,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
48,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
49,Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
